Number,Wins,For,Against,Ratio
235299540,1246,138809,101785,1.363747114
136736355,1305,144993,106354,1.363305564
26459990,1184,130059,95460,1.362445003
1284171,1484,116079,85236,1.361854146
251142037,1304,143431,105324,1.361807375
99796789,1195,101182,74427,1.359479759
43439965,1180,136260,100272,1.358903782
258630122,1176,126197,92929,1.357993737
157794403,1302,144839,106662,1.357925034
135775139,1215,132302,97512,1.356776602
169210753,1302,121596,89737,1.355026355
37289628,1204,137055,101276,1.35328212
5296032,1335,119109,88065,1.352512349
220011304,1390,111201,82289,1.351347082
153083515,1364,109869,81308,1.351269248
108375437,1094,147750,109471,1.349672516
21288837,1303,112234,83208,1.34883665
247072053,1407,101577,75328,1.348462723
63386745,1307,115438,85631,1.348086557
42890408,1195,126935,94263,1.346604712
167208813,1303,143192,106381,1.346029836
212037158,1298,134567,100017,1.345441275
258358679,1222,140464,104456,1.344719308
64335413,1166,122213,91037,1.342454167
244946766,1281,131681,98090,1.34245081
34058445,1271,126949,94586,1.34215423
182697401,1372,159522,118868,1.342009624
64595461,1506,134715,100393,1.341876426
239568771,1204,135726,101214,1.340980497
205934979,1202,135767,101256,1.340829185
258766666,1223,98435,73561,1.338141135
34456218,1252,131105,97979,1.338092857
191946531,1269,132239,98849,1.337787939
198377353,1237,112136,83853,1.337292643
17425230,1339,113460,84857,1.337072958
174304706,1360,159713,119473,1.336812502
170295031,1275,143862,107683,1.335976895
178646095,1364,142565,106850,1.334253627
231004090,1229,132210,99159,1.333313164
155380633,1180,133316,100022,1.332866769
219733888,1271,115546,86710,1.332556799
186162692,1328,163958,123068,1.332255339
262508071,1320,135750,101930,1.331796331
222020688,1309,143311,107687,1.33081059
163507496,1373,105053,78954,1.330559566
173204819,1222,125059,93994,1.330499819
57076355,1248,123559,92891,1.330150391
208095576,1207,135895,102166,1.330139185
198650265,1276,108810,81810,1.330033003
18356344,1483,135329,101792,1.32946597
46824119,1317,127949,96245,1.32940932
113889185,1202,110719,83349,1.328378265
142459961,1295,143967,108416,1.327912854
217980185,1303,140005,105478,1.327338402
173893133,1254,130140,98105,1.326537893
72261092,1283,112864,85274,1.323545278
126025008,1201,108088,81721,1.322646566
24497070,1112,125372,95015,1.319496922
163104527,1214,160309,121550,1.318872892
184978631,1278,145387,110294,1.318176873
176581367,1261,148293,112573,1.317305215
234076111,1186,139869,106181,1.317269568
27692820,1311,117881,89592,1.315753639
155652252,1214,134642,102460,1.314093305
63939113,1158,117616,89542,1.313528847
101346984,1182,122342,93161,1.313231932
84139692,1176,102042,77759,1.312285395
56287027,1253,117741,89728,1.312199091
97229412,1270,97055,74011,1.311359122
186809026,1254,137606,104965,1.310970323
254640617,1257,97839,74760,1.308707865
82667143,1141,126116,96417,1.308026593
174983668,1253,148020,113438,1.304853753
105099246,1201,124998,95897,1.303461005
256741175,1260,85865,65921,1.302543954
13073195,1246,113231,86963,1.302059497
23555157,1293,133071,102243,1.301516974
126154490,1217,112405,86405,1.300908512
215113887,1263,87161,67024,1.300444617
66998799,1191,132369,101802,1.300259327
121595681,1139,117320,90232,1.300203919
197590337,1254,142350,109540,1.299525288
145045077,1280,145562,112147,1.297957146
179596117,1247,144417,111310,1.297430599
135239014,1271,117183,90347,1.297032552
12560927,1196,132212,101948,1.296857221
192078065,1168,128711,99280,1.2964444
69933661,1289,142407,109887,1.295940375
92007587,1104,121264,93625,1.295209613
74554431,1169,103993,80326,1.294636855
102649130,1291,129533,100149,1.29340283
6482860,1268,124457,96496,1.289763306
199446503,1219,133649,103675,1.289115023
235157809,1182,133221,103477,1.287445519
86925054,1190,109030,84702,1.28721872
100041253,1110,92607,72018,1.285886862
148429421,1283,162790,126727,1.284572348
182040191,1285,162296,126376,1.284231183
129637235,1165,109411,85227,1.283759841
32729547,1200,113621,88525,1.283490539
206069061,1223,91263,71116,1.283297711
175933519,1281,130634,101837,1.282775416
