Number,Wins,For,Against,Ratio,,Nonreachable,,,,,,all2000,,,,,,Reachable,,,,
162404350,597,76777,90206,0.851129637,,,,,,,,,,,,,,,,,,
232974026,577,79182,93336,0.848354333,,,,,,,,,,,,,,,,,,
141812046,594,77442,91294,0.848270423,,,,,,,,,,,,,,,,,,
79848824,665,67856,80111,0.847024753,,,,,,,,,,,,,,,,,,
57205903,526,82230,97101,0.846850187,,,,,,,,,,,,,,,,,,
78686065,649,72258,85364,0.846469238,,,,,,,,,,,,,,,,,,
235707769,566,79748,94326,0.845450883,,,,,,,,,,,,,,,,,,
190176864,579,78315,92643,0.845341796,,,,,,,,,,,,,,,,,,
104295939,536,77190,91331,0.845167577,,,,,,,,,,,,,,,,,,
6228771,562,74296,87928,0.844964062,,,,,,,,,,,,,,,,,,
225650585,561,73536,87033,0.844920892,,,,,,,,,,,,,,,,,,
132026175,520,61299,72569,0.844699527,,,,,,,,,,,,,,,,,,
23294192,684,70460,83418,0.844661824,,,,,,,,,,,,,,,,,,
66596689,576,82398,97593,0.844302358,,,,,,,,,,,,,,,,,,
87565475,532,66067,78282,0.843961575,,,,,,,,,,,,,,,,,,
236635175,634,79421,94214,0.842985119,,,,,,,,,,,,,,,,,,
124843880,675,68902,81810,0.842219778,,,,,,,,,,,,,,,,,,
61367510,556,81540,96817,0.842207464,,,,,,,,,,,,,,,,,,
221774680,721,67047,79635,0.8419288,,,,,,,,,,,,,,,,,,
259187012,542,67321,79984,0.841680836,,,,,,,,,,,,,,,,,,
198919797,579,79037,93945,0.841311406,,,,,,,,,,,,,,,,,,
160363288,650,71598,85116,0.841181446,,,,,,,,,,,,,,,,,,
134410926,579,81000,96309,0.841042893,,,,,,,,,,,,,,,,,,
158464600,565,76511,90979,0.840974291,,,,,,,,,,,,,,,,,,
255439726,715,69742,83042,0.839840081,,,,,,,,,,,,,,,,,,
104437389,582,76007,90511,0.839754284,,,,,,,,,,,,,,,,,,
118356776,594,78256,93200,0.839656652,,,,,,,,,,,,,,,,,,
120252785,486,75241,89613,0.839621483,,,,,,,,,,,,,,,,,,
45749933,519,80197,95605,0.838836881,,,,,,,,,,,,,,,,,,
36199891,539,84328,100608,0.838183842,,,,,,,,,,,,,,,,,,
245206685,630,71454,85256,0.838111101,,,,,,,,,,,,,,,,,,
38360802,598,67845,81011,0.837478861,,,,,,,,,,,,,,,,,,
149646665,618,71239,85084,0.837278454,,,,,,,,,,,,,,,,,,
68483594,899,69049,82501,0.836947431,,,,,,,,,,,,,,,,,,
78301055,709,72375,86502,0.836685857,,,,,,,,,,,,,,,,,,
251003713,569,70387,84147,0.836476642,,,,,,,,,,,,,,,,,,
134804214,649,76706,91735,0.836169401,,,,,,,,,,,,,,,,,,
97489112,693,64150,76804,0.835242956,,,,,,,,,,,,,,,,,,
31922924,684,66176,79252,0.835007318,,,,,,,,,,,,,,,,,,
38634235,554,83964,100562,0.834947595,,,,,,,,,,,,,,,,,,
34324000,600,71139,85399,0.833019122,,,,,,,,,,,,,,,,,,
148005710,587,83313,100018,0.832980064,,,,,,,,,,,,,,,,,,
90130742,589,60405,72587,0.832173805,,,,,,,,,,,,,,,,,,
69528359,597,81141,97510,0.832130038,,,,,,,,,,,,,,,,,,
2488711,555,82719,99423,0.831990586,,,,,,,,,,,,,,,,,,
28383381,574,76888,92496,0.831257568,,,,,,,,,,,,,,,,,,
112123147,484,84639,101936,0.8303151,,,,,,,,,,,,,,,,,,
180817702,703,75267,90659,0.830220938,,,,,,,,,,,,,,,,,,
191815032,611,78761,94887,0.830050481,,,,,,,,,,,,,,,,,,
223508273,565,62442,75349,0.828703765,,,,,,,,,,,,,,,,,,
249933327,574,79625,96111,0.828469166,,,,,,,,,,,,,,,,,,
232570183,557,62807,75987,0.826549278,,,,,,,,,,,,,,,,,,
227941190,558,70264,85076,0.825896845,,,,,,,,,,,,,,,,,,
176441100,511,85911,104026,0.825860842,,,,,,,,,,,,,,,,,,
116931286,536,68981,83678,0.824362437,,,,,,,,,,,,,,,,,,
42334886,647,74622,90622,0.823442431,,,,,,,,,,,,,,,,,,
189891390,536,96846,117640,0.823240394,,,,,,,,,,,,,,,,,,
154980636,536,88581,107654,0.82283055,,,,,,,,,,,,,,,,,,
48019314,545,64768,78866,0.821241092,,,,,,,,,,,,,,,,,,
144486117,511,95388,116227,0.820704311,,,,,,,,,,,,,,,,,,
202128635,547,76808,93608,0.82052816,,,,,,,,,,,,,,,,,,
229928928,599,66433,80994,0.820221251,,,,,,,,,,,,,,,,,,
229404292,567,71049,86645,0.820001154,,,,,,,,,,,,,,,,,,
